date,Caitlin Clark,Indiana Fever
2021-12-26,0,1
2022-01-02,0,1
2022-01-09,0,1
2022-01-16,0,2
2022-01-23,0,1
2022-01-30,0,1
2022-02-06,2,1
2022-02-13,1,1
2022-02-20,0,1
2022-02-27,2,1
2022-03-06,1,1
2022-03-13,0,1
2022-03-20,0,1
2022-03-27,0,1
2022-04-03,0,1
2022-04-10,0,5
2022-04-17,0,2
2022-04-24,0,3
2022-05-01,0,4
2022-05-08,0,4
2022-05-15,0,3
2022-05-22,0,5
2022-05-29,0,3
2022-06-05,0,2
2022-06-12,0,4
2022-06-19,0,3
2022-06-26,0,2
2022-07-03,0,4
2022-07-10,0,3
2022-07-17,0,3
2022-07-24,0,3
2022-07-31,0,2
2022-08-07,0,3
2022-08-14,0,2
2022-08-21,0,1
2022-08-28,0,1
2022-09-04,0,1
2022-09-11,0,1
2022-09-18,0,1
2022-09-25,0,1
2022-10-02,0,0
2022-10-09,0,1
2022-10-16,0,1
2022-10-23,0,1
2022-10-30,0,1
2022-11-06,0,1
2022-11-13,0,1
2022-11-20,0,1
2022-11-27,1,1
2022-12-04,0,1
2022-12-11,0,1
2022-12-18,0,1
2022-12-25,0,1
2023-01-01,0,1
2023-01-08,0,1
2023-01-15,0,1
2023-01-22,1,1
2023-01-29,0,2
2023-02-05,2,1
2023-02-12,0,1
2023-02-19,1,1
2023-02-26,4,1
2023-03-05,1,1
2023-03-12,1,1
2023-03-19,2,1
2023-03-26,22,2
2023-04-02,32,2
2023-04-09,4,8
2023-04-16,1,2
2023-04-23,1,2
2023-04-30,0,2
2023-05-07,0,6
2023-05-14,0,10
2023-05-21,0,6
2023-05-28,0,6
2023-06-04,0,7
2023-06-11,0,9
2023-06-18,0,5
2023-06-25,1,5
2023-07-02,0,7
2023-07-09,0,5
2023-07-16,0,3
2023-07-23,0,3
2023-07-30,0,6
2023-08-06,0,4
2023-08-13,1,4
2023-08-20,0,3
2023-08-27,0,4
2023-09-03,0,3
2023-09-10,1,2
2023-09-17,0,1
2023-09-24,0,1
2023-10-01,0,1
2023-10-08,0,0
2023-10-15,0,1
2023-10-22,0,1
2023-10-29,0,1
2023-11-05,2,1
2023-11-12,1,1
2023-11-19,3,1
2023-11-26,1,1
2023-12-03,3,1
2023-12-10,4,2
2023-12-17,2,2
2023-12-24,1,1
2023-12-31,9,2
2024-01-07,8,1
2024-01-14,10,1
2024-01-21,11,1
2024-01-28,7,1
2024-02-04,10,1
2024-02-11,28,2
2024-02-18,16,2
2024-02-25,21,9
2024-03-03,28,7
2024-03-10,11,3
2024-03-17,12,3
2024-03-24,25,3
2024-03-31,66,6
2024-04-07,43,12
2024-04-14,88,53
2024-04-21,29,13
2024-04-28,28,43
2024-05-05,23,44
2024-05-12,40,88
2024-05-19,30,69
2024-05-26,26,80
2024-06-02,50,63
2024-06-09,32,55
2024-06-16,38,82
2024-06-23,20,57
2024-06-30,27,72
2024-07-07,28,65
2024-07-14,26,47
2024-07-21,17,11
2024-07-28,11,7
2024-08-04,7,7
2024-08-11,11,29
2024-08-18,17,49
2024-08-25,21,95
2024-09-01,26,100
2024-09-08,25,90
2024-09-15,17,65
2024-09-22,21,66
2024-09-29,17,8
2024-10-06,16,4
2024-10-13,16,4
2024-10-20,12,4
2024-10-27,9,13
2024-11-03,7,4
2024-11-10,8,3
2024-11-17,6,3
2024-11-24,6,4
2024-12-01,6,5
2024-12-08,11,4
2024-12-15,8,5
2024-12-22,6,5
2024-12-29,6,3
2025-01-05,5,4
2025-01-12,11,6
2025-01-19,9,7
2025-01-26,6,9
2025-02-02,9,13
2025-02-09,8,8
2025-02-16,6,6
2025-02-23,6,5
2025-03-02,7,5
2025-03-09,7,4
2025-03-16,6,5
2025-03-23,8,6
2025-03-30,5,5
2025-04-06,7,5
2025-04-13,7,11
2025-04-20,5,7
2025-04-27,8,20
2025-05-04,11,32
2025-05-11,12,37
2025-05-18,28,90
2025-05-25,32,45
2025-06-01,22,38
2025-06-08,31,54
2025-06-15,37,69
2025-06-22,29,64
2025-06-29,31,57
2025-07-06,25,56
2025-07-13,40,52
2025-07-20,24,31
2025-07-27,19,50
2025-08-03,17,46
2025-08-10,20,44
2025-08-17,13,38
2025-08-24,17,36
2025-08-31,19,38
2025-09-07,8,24
2025-09-14,9,46
2025-09-21,8,66
2025-09-28,9,57
2025-10-05,5,6
